,massege,softmax,class
0,зачем это надо,[0.  0.  0.  0.  0.3 0.7],tag_yes
1,ну,[0.04 0.02 0.   0.   0.   0.94],tag_yes
2,какая организация?,[0.03 0.11 0.   0.08 0.03 0.75],tag_yes
3,во имя чего?,[0.   0.   0.   0.   0.   0.99],tag_yes
4,вы тут?,[0.02 0.13 0.   0.16 0.21 0.48],tag_yes
5,да ну вас!,[0.04 0.03 0.   0.   0.   0.92],tag_yes
6,"приветствую, а что за организация?",[0.01 0.06 0.   0.83 0.04 0.07],tag_what_company
7,да хорошо,[0.01 0.03 0.   0.   0.   0.97],tag_yes
8,с какой радости?,[0.01 0.06 0.   0.   0.   0.92],tag_yes
9,и что дальше?,[0. 0. 0. 0. 0. 1.],tag_yes
10,скажите вторично,[0.03 0.56 0.01 0.   0.3  0.1 ],tag_no
11,вне всяких сомнений,[0. 0. 0. 0. 0. 1.],tag_yes
12,не понял,[0.   0.08 0.   0.   0.92 0.  ],tag_who_is
13,да нет наверное,[0.07 0.31 0.01 0.   0.   0.6 ],tag_yes
14,"алло, я больше не хочу получать звонки от вас!",[0.92 0.05 0.01 0.02 0.01 0.  ],tag_do_not_call
15,сыт по горло,[0.73 0.09 0.   0.   0.   0.18],tag_do_not_call
16,скорее всего,[0.02 0.77 0.   0.   0.   0.21],tag_no
17,"не, не годится",[0.16 0.79 0.05 0.   0.   0.  ],tag_no
18,а какая цель звонка?,[0.01 0.01 0.   0.01 0.   0.97],tag_yes
19,допустимо,[0.03 0.08 0.   0.   0.   0.88],tag_yes
20,зачем,[0. 0. 0. 0. 0. 1.],tag_yes
21,вероятно,[0.02 0.09 0.   0.   0.   0.88],tag_yes
22,будь здоров!,[0.07 0.71 0.   0.   0.01 0.22],tag_no
23,положим,[0.04 0.16 0.   0.   0.   0.8 ],tag_yes
24,представьтесь пожалуйста?,[0.03 0.03 0.   0.   0.91 0.03],tag_who_is
25,кто здесь?,[0.   0.09 0.   0.02 0.85 0.04],tag_who_is
26,"нет, в другой раз",[0.   0.01 0.99 0.   0.   0.  ],tag_not_now
27,"жаль, но нет",[0.01 0.99 0.   0.   0.   0.  ],tag_no
28,еще раз,[0. 0. 0. 0. 1. 0.],tag_who_is
29,к прискорбию нет,[0.07 0.92 0.01 0.   0.   0.  ],tag_no
